timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz], utilization.memory [%]
2024/05/07 13:44:32.229, 39, 26.35 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.242, 39, 26.16 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.256, 39, 26.16 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.268, 39, 26.26 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.296, 39, 26.26 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.307, 39, 27.99 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.323, 39, 35.49 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.353, 39, 35.49 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.365, 39, 35.97 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.377, 39, 35.97 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.389, 39, 35.97 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.402, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.417, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.428, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.441, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.457, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.468, 39, 35.97 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.481, 39, 36.07 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.498, 39, 36.07 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.509, 39, 36.06 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.522, 39, 36.07 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.536, 39, 36.07 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.547, 39, 36.06 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.560, 39, 36.16 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.576, 39, 36.16 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.587, 39, 36.06 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.600, 39, 36.06 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.616, 39, 36.06 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.627, 39, 36.06 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.640, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.656, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.667, 39, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.680, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.696, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.707, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.720, 39, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.736, 39, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.747, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.760, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.777, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.788, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.801, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.817, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.828, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.841, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.857, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.868, 39, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.881, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.897, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.908, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.921, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.937, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.948, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.961, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.977, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.988, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.001, 39, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.017, 39, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.028, 39, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.041, 39, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.057, 39, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.068, 39, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.081, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.097, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.109, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.122, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.137, 39, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.148, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.161, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.177, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.188, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.201, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.218, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.229, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.242, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.258, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.269, 40, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.282, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.298, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.309, 40, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.322, 40, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.338, 40, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.349, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.362, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.378, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.389, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.402, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.418, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.429, 39, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.442, 40, 36.25 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.458, 40, 36.25 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.469, 40, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.482, 40, 36.25 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.498, 40, 36.25 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.509, 40, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.522, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.538, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.549, 40, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.562, 40, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.578, 40, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.589, 40, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.602, 40, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.618, 40, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.629, 40, 36.07 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.642, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.658, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.669, 40, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.682, 40, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.699, 40, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.710, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.723, 40, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.739, 40, 36.06 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.750, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.763, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.779, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.790, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.803, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.819, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.830, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.843, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.859, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.870, 40, 36.25 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.883, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.899, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.910, 40, 36.25 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.923, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.939, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.950, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.963, 40, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.979, 40, 36.26 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:33.990, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.003, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.019, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.030, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.043, 40, 36.25 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.059, 40, 36.25 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.070, 40, 36.16 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.083, 40, 36.93 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.099, 40, 36.93 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.110, 40, 37.22 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.123, 40, 37.41 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:34.140, 40, 37.41 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.150, 40, 37.22 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.163, 40, 37.22 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.180, 40, 37.22 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.190, 40, 37.13 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.204, 40, 37.22 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.220, 40, 37.22 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.231, 40, 37.02 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.244, 40, 37.22 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.260, 40, 37.22 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.271, 40, 37.02 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.284, 40, 37.12 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.300, 40, 37.12 W, 1200 MHz, 31 %, 850 MHz, 1200 MHz, 1 %
2024/05/07 13:44:34.311, 40, 37.89 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.327, 40, 39.23 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.343, 40, 39.23 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.354, 40, 40.18 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.367, 40, 40.47 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.383, 40, 40.47 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.394, 40, 40.38 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.407, 40, 40.38 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.423, 40, 40.38 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.434, 40, 40.38 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.447, 40, 40.18 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.463, 40, 40.18 W, 1320 MHz, 91 %, 850 MHz, 1320 MHz, 3 %
2024/05/07 13:44:34.474, 40, 40.28 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.490, 40, 40.28 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.504, 40, 40.28 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.515, 40, 40.38 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.528, 40, 40.38 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.544, 40, 40.38 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.555, 40, 40.76 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.568, 40, 40.67 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.584, 40, 40.67 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.595, 40, 40.76 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.608, 40, 40.39 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.624, 40, 40.39 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.635, 40, 40.00 W, 1335 MHz, 91 %, 850 MHz, 1335 MHz, 3 %
2024/05/07 13:44:34.648, 40, 39.92 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.664, 40, 39.92 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.675, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.689, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.704, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.715, 40, 40.01 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.729, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.745, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.756, 40, 40.01 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.769, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.785, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.795, 40, 40.00 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.809, 40, 39.89 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.825, 40, 39.89 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.836, 40, 39.99 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
